Any;          ;Any acadèmic;Tipus de estudis;Unnamed: 3;Centre;Unnamed: 5;Estudios;Unnamed: 7;Assignatura;Unnamed: 9;Grup;Convocatòria;Periode;N. Crèdits;Departament;Centre / Pla;Qualificació;Unnamed: 17;Conv.Consu.;Curs;Regim;Data inici baixa;Data fi baixa;Motiu baixa
2018-19;;2018/2019-0;5.0;Grau;103.0;Facultat de Ciències;10110.0;Matemàtica Computacional i Analítica de Dades;104382.0;Càlcul en una Variable;1.0;Primera convocatòria febrer;Primer Quadrimestre;6.0; ;103 / 1403;5.1;Aprovat;1.0;1.0;2 - [Temps complet] Règim de permanència 2011: grau i màster;;;
2018-19;;2018/2019-0;5.0;Grau;103.0;Facultat de Ciències;10110.0;Matemàtica Computacional i Analítica de Dades;104382.0;Càlcul en una Variable;1.0;Primera convocatòria febrer;Primer Quadrimestre;6.0; ;103 / 1403;4.2;Suspens;2.0;1.0;2 - [Temps complet] Règim de permanència 2011: grau i màster;;;
2018-19;;2018/2019-0;5.0;Grau;103.0;Facultat de Ciències;10110.0;Matemàtica Computacional i Analítica de Dades;104382.0;Càlcul en una Variable;1.0;Primera convocatòria febrer;Primer Quadrimestre;6.0; ;103 / 1403;6.2;Aprovat;1.0;1.0;2 - [Temps complet] Règim de permanència 2011: grau i màster;;;
2018-19;;2018/2019-0;5.0;Grau;103.0;Facultat de Ciències;10110.0;Matemàtica Computacional i Analítica de Dades;104382.0;Càlcul en una Variable;1.0;Primera convocatòria febrer;Primer Quadrimestre;6.0; ;103 / 1403;5.7;Aprovat;1.0;1.0;2 - [Temps complet] Règim de permanència 2011: grau i màster;;;
2018-19;;2018/2019-0;5.0;Grau;103.0;Facultat de Ciències;10110.0;Matemàtica Computacional i Analítica de Dades;104382.0;Càlcul en una Variable;1.0;Primera convocatòria febrer;Primer Quadrimestre;6.0; ;103 / 1403;5.0;Aprovat;1.0;1.0;2 - [Temps complet] Règim de permanència 2011: grau i màster;;;
2018-19;;2018/2019-0;5.0;Grau;103.0;Facultat de Ciències;10110.0;Matemàtica Computacional i Analítica de Dades;104382.0;Càlcul en una Variable;1.0;Primera convocatòria febrer;Primer Quadrimestre;6.0; ;103 / 1403;5.3;Aprovat;1.0;1.0;2 - [Temps complet] Règim de permanència 2011: grau i màster;;;
2018-19;;2018/2019-0;5.0;Grau;103.0;Facultat de Ciències;10110.0;Matemàtica Computacional i Analítica de Dades;104382.0;Càlcul en una Variable;1.0;Primera convocatòria febrer;Primer Quadrimestre;6.0; ;103 / 1403;5.1;Aprovat;1.0;1.0;2 - [Temps complet] Règim de permanència 2011: grau i màster;;;
2018-19;;2018/2019-0;5.0;Grau;103.0;Facultat de Ciències;10110.0;Matemàtica Computacional i Analítica de Dades;104382.0;Càlcul en una Variable;1.0;Primera convocatòria febrer;Primer Quadrimestre;6.0; ;103 / 1403;1.1;Suspens;1.0;1.0;2 - [Temps complet] Règim de permanència 2011: grau i màster;;;
2018-19;;2018/2019-0;5.0;Grau;103.0;Facultat de Ciències;10110.0;Matemàtica Computacional i Analítica de Dades;104382.0;Càlcul en una Variable;1.0;Primera convocatòria febrer;Primer Quadrimestre;6.0; ;103 / 1403;4.1;Suspens;2.0;1.0;2 - [Temps complet] Règim de permanència 2011: grau i màster;;;
2018-19;;2018/2019-0;5.0;Grau;103.0;Facultat de Ciències;10110.0;Matemàtica Computacional i Analítica de Dades;104382.0;Càlcul en una Variable;1.0;Primera convocatòria febrer;Primer Quadrimestre;6.0; ;103 / 1403;0.0;No avaluable;1.0;1.0;2 - [Temps complet] Règim de permanència 2011: grau i màster;;;
